X_id,dispatch_ts,mode_type,location_type,street,xstreet1,xstreet2,x_cord,y_cord,lat,long,deadzone_area
28263,2022-11-07 10:46:30+00,mv,Intersection,,BROOKLINE AVE,PARK DR,763598.97,2950391.2,42.34333703694542,-71.10260908157204,Fenway
28274,2022-09-01 06:43:40+00,mv,Other,,,,763443.39,2950153.58,42.3426869879571,-71.10318865460532,Fenway
28280,2017-09-11 14:50:08+00,mv,Intersection,,SOLDIERS FIELD RD,WESTERN AVE,752044.78,2956989.14,42.36158183513133,-71.14524599382428,Middle Left
28350,2024-06-15 09:39:08+00,mv,Intersection,,WESTERN AVE,LEO M BIRMINGHAM PKWY,751902.89,2956975.62,42.36154635470363,-71.14577119810968,Middle Left
28405,2021-12-28 11:45:33+00,mv,Intersection,,BROOKLINE AVE,BOYLSTON ST,763598.97,2950391.2,42.34333703694542,-71.10260908157204,Fenway
28799,2021-09-09 19:54:08+00,mv,Street,LEO M BIRMINGHAM PKWY,CENTOLA ST,LOTHROP ST,751804.73,2956496.81,42.3603556139791,-71.14650419214902,Middle Left
28829,2024-06-03 15:08:41+00,mv,Intersection,,SOLDIERS FIELD RD,LEO M BIRMINGHAM PKWY,751902.89,2956975.62,42.36154635470363,-71.14577119810968,Middle Left
28869,2021-08-23 11:47:34+00,mv,Street,LEO M BIRMINGHAM PKWY,CENTOLA ST,LOTHROP ST,751804.73,2956496.81,42.3603556139791,-71.14650419214902,Middle Left
28884,2020-11-05 16:47:05+00,mv,Street,CHARLESBANK RD,,,771753.33,2956796.09,42.36080244132861,-71.0723376846737,Esplanade
29252,2018-04-18 02:58:10+00,mv,Other,,,,771753.33,2956796.09,42.3608039617049,-71.07232774082664,Esplanade
29595,2018-10-12 09:46:38+00,mv,Other,,,,771753.33,2956796.09,42.3608039617049,-71.07232774082664,Esplanade
29651,2015-06-28 14:29:14+00,mv,Intersection,,LEO M BIRMINGHAM PKWY,WESTERN AVE,751902.89,2956975.62,42.36154635470363,-71.14577119810968,Middle Left
30023,2015-07-23 22:21:51+00,mv,Intersection,,BROOKLINE AVE,YAWKEY WAY,764586.34,2951665.65,42.346821482648544,-71.09893467676315,Fenway
30080,2022-02-15 09:14:19+00,mv,Intersection,,JERSEY ST,VAN NESS ST,764778.34,2951152.65,42.34541131419919,-71.09823338129662,Fenway
30219,2020-04-25 10:52:45+00,mv,Intersection,,WESTERN AVE,LEO M BIRMINGHAM PKWY,751902.89,2956975.62,42.36154635470363,-71.14577119810968,Middle Left
30255,2021-12-27 09:50:03+00,mv,Street,LEO M BIRMINGHAM PKWY,CENTOLA ST,LOTHROP ST,751804.73,2956496.81,42.3603556139791,-71.14650419214902,Middle Left
30363,2019-01-20 02:35:08+00,mv,Street,PARK DR,RIVERWAY,RIVERWAY,763558.85,2950833.27,42.34412622992415,-71.10355259508037,Fenway
30413,2023-04-03 11:46:39+00,mv,Intersection,,BROOKLINE AVE,FENWAY,763429.53,2950182.17,42.34276561687913,-71.10323942942463,Fenway
30595,2024-02-27 10:17:42+00,mv,Street,BROOKLINE AVE,FULLERTON ST,PARK DR,763760.07,2950510.33,42.343752931046,-71.10217479654982,Fenway
30674,2024-02-08 14:14:36+00,mv,Intersection,,PARK DR,BROOKLINE AVE,763598.97,2950391.2,42.34333703694542,-71.10260908157204,Fenway
30715,2019-10-27 18:18:56+00,mv,Street,LEO M BIRMINGHAM PKWY,CENTOLA ST,LOTHROP ST,751804.73,2956496.81,42.3603556139791,-71.14650419214902,Middle Left
30824,2021-07-30 13:30:08+00,mv,Street,BROOKLINE AVE,ARTHURS WAY,BURLINGTON AVE,764078.99,2951471.68,42.34581934295645,-71.09998910244819,Fenway
31052,2018-03-06 02:56:26+00,mv,Intersection,,SOLDIERS FIELD RD,WESTERN AVE,752044.78,2956989.14,42.36158183513133,-71.14524599382428,Middle Left
31101,2020-10-21 10:11:21+00,mv,Other,,,,770993.81,2957059.03,42.361535893159775,-71.07513309052295,Esplanade
31195,2019-09-22 15:11:26+00,mv,Intersection,,BOYLSTON ST,KILMARNOCK ST,764301.09,2950630.4,42.343984400648985,-71.10000782501184,Fenway
31533,2024-05-08 22:01:38+00,mv,Intersection,,SOLDIERS FIELD RD,WESTERN AVE,752044.78,2956989.14,42.36158183513133,-71.14524599382428,Middle Left
31576,2016-10-30 23:08:05+00,mv,Other,,NULL,NULL,771746.71,2956909.68,42.36111574584723,-71.07235012671512,Esplanade
31681,2024-01-24 12:59:44+00,mv,Intersection,,WESTERN AVE,LEO M BIRMINGHAM PKWY,751902.89,2956975.62,42.36154635470363,-71.14577119810968,Middle Left
32091,2018-09-05 13:47:18+00,mv,Intersection,,BOYLSTON ST,KILMARNOCK ST,764301.09,2950630.4,42.343984400648985,-71.10000782501184,Fenway
32181,2015-04-02 01:37:12+00,mv,Other,,NULL,NULL,771746.71,2956909.68,42.36111574584723,-71.07235012671512,Esplanade
32259,2023-12-12 22:54:02+00,mv,Intersection,,WESTERN AVE,LEO M BIRMINGHAM PKWY,751902.89,2956975.62,42.36154635470363,-71.14577119810968,Middle Left
32382,2015-03-21 23:34:10+00,mv,Street,BROOKLINE AVE,PILGRIM RD,SHORT ST,763210.6,2950059.49,42.34226134108303,-71.10375340498555,Fenway
32904,2018-04-05 16:33:38+00,mv,Street,LEO M BIRMINGHAM PKWY,CENTOLA ST,LOTHROP ST,751804.73,2956496.81,42.3603556139791,-71.14650419214902,Middle Left
33242,2015-10-24 18:11:41+00,mv,Intersection,,LEO M BIRMINGHAM PKWY,WESTERN AVE,751902.89,2956975.62,42.36154635470363,-71.14577119810968,Middle Left
