lon,lat,n
-87.6524349997,41.9672886138,100
-87.6525180192,41.7178174158,1
-87.6525344838,41.8926581076,294
-87.6530217894,41.9581548757,654
-87.6531587001,41.8365103216,9
-87.6532196007,41.7341687376,1
-87.6532439924,41.9528229157,349
-87.6535834197,41.8329371807,41
-87.6536139825,41.8983058696,369
-87.6537566193,41.8634226841,18
-87.6537935286,41.9854724225,240
-87.6540070286,41.9147473049,453
-87.6540926517,41.8716894745,98
-87.6542980837,41.9462945357,1278
-87.6545378676,41.980606166,124
-87.6547394924,41.8552500875,18
-87.6555162889,41.8423039419,3
-87.6558149022,41.9955129914,300
-87.6559118484,41.9217014922,251
-87.6559368296,41.7477324924,2
-87.6561568309,41.9289672664,224
-87.6564115308,41.9362371791,278
-87.6566440918,41.9425851797,394
-87.6568039088,41.9491397709,855
-87.657005027,41.8790669938,450
-87.6572331997,41.8852813201,2458
-87.6572348282,41.9887040216,366
-87.6573042698,41.9912345323,694
-87.6573411073,41.9727095466,1198
-87.6574177422,41.9934409461,636
-87.6574987907,41.9971539428,412
-87.6578712629,41.9788750584,263
-87.6578992921,41.7268354017,11
-87.657966347,41.9827455952,228
-87.6583003944,41.7395020022,1
-87.6583976702,41.9854764991,228
-87.659122427,42.004764559,3115
-87.6592046708,41.8695838595,18
-87.6595642391,41.8563332167,232
-87.6598643178,41.8925368719,34
-87.6603894557,41.958055933,1097
-87.6605035019,41.952719111,71
-87.6606178329,41.8409308062,5
-87.6608925701,41.9289459041,109
-87.6609430664,41.7476603008,2
-87.6612652184,41.936159071,178
-87.6614433685,41.9416281,76
-87.6615450961,41.9452823311,122
-87.6616429039,41.9490605256,186
-87.6618611238,41.8741766252,34
-87.6631267998,42.0003203059,1326
-87.6631958495,41.9654457842,495
-87.6633278588,42.0045174875,1486
-87.6635286858,41.8474315472,163
-87.6637988716,41.8268319106,4
-87.6638654956,41.9726679555,1149
-87.6639582144,42.0094125471,2408
-87.6640472412,41.8692744531,238
-87.6640782395,41.9218774613,270
-87.6641882421,41.9799124453,1252
-87.6647458359,41.8924931672,57
-87.6649068859,41.8559898728,10
-87.6649377243,41.9872255578,1610
-87.6649539167,41.8997373884,132
-87.6652247765,41.9944422482,1318
-87.6653376596,41.9066507664,94
-87.665676837,41.9287630064,126
-87.6660835308,41.7131033946,2
-87.6661106945,41.9360865352,161
-87.6662888874,41.941555829,76
-87.6665362779,42.0159343756,2442
-87.6665362813,41.9506733576,270
-87.6666114405,41.957530922,79
-87.6674491231,41.8103987508,2
-87.6675715595,41.83380026,16
-87.6676836101,42.0062788614,2867
-87.668574537,41.8559343655,25
-87.6687944391,41.9451704528,113
-87.6696239301,41.8924331563,49
-87.6698247721,42.0212235931,2409
-87.6698353627,41.7405850222,27
-87.6698377982,41.8996701799,121
-87.6701845504,41.9633743823,134
-87.6701891476,41.9124318691,63
-87.6706210432,41.9670117607,64
-87.6707697365,41.7475342629,1
-87.6709450752,41.9083786693,442
-87.6709663837,41.9359889065,60
-87.6709898632,41.7539859024,1
-87.6710019948,41.7612780797,1
-87.671107656,41.9414882338,142
-87.6711095263,41.9724370811,693
-87.6712503529,41.6846149678,1
-87.671332488,41.9506052324,118
-87.6714064978,41.695652247,2
-87.6714455473,41.9797955506,492
-87.671445766,41.9192250505,228
-87.671518011,41.9579038971,127
-87.6715775901,41.7830058493,2
-87.6716536214,41.8786674201,534
-87.6717699997,41.7902999568,1
-87.671873941,41.8860057857,44
-87.6720809941,41.9869530579,220
-87.672538401,41.9943810196,261
-87.6727239593,42.0090182269,1868
-87.672920435,41.8631181033,73
-87.6729255394,41.8268330147,1
-87.6733337784,42.0160464924,3306
-87.6735740325,42.0016981937,1198
