lon,lat,n
-87.6300448953,41.7424875717,1
-87.6305800611,41.8612808467,2
-87.6308650266,41.9058577688,16
-87.630963601,41.9094956686,2
-87.6314065252,41.8710158803,16
-87.6317173661,41.9146162864,26
-87.6318639497,41.8920421365,67
-87.6321092196,41.9002656868,9
-87.632184554,41.7544341714,2
-87.632245255,41.8018227527,2
-87.6327464887,41.8809944707,71
-87.6329596351,41.834480698,1
-87.6341560931,41.922082541,12
-87.6346478774,41.9346504482,3
-87.6350918563,41.8510178239,8
-87.6357600901,41.9074919303,16
-87.6358909539,41.9292629902,6
-87.6378442095,41.8932163595,57
-87.6384040116,41.9015669095,5
-87.6384969156,41.7691898164,1
-87.6385749205,41.9383912577,16
-87.6398538587,41.9347624564,9
-87.640698076,41.9431550855,7
-87.6409015248,41.9074128162,7
-87.6410707462,41.9128689225,1
-87.6414597588,41.9217783562,1
-87.6414915334,41.897983898,1
-87.641971777,41.7533924165,1
-87.6422063127,41.9305785697,5
-87.6426052473,41.9268111821,6
-87.642648998,41.8792550844,42
-87.6428084655,41.8853000224,21
-87.6429586652,41.8679024175,17
-87.6430228044,41.9345397158,3
-87.6431623703,41.8350679168,1
-87.6434709559,41.9432371225,9
-87.6439653703,41.949829346,14
-87.644209287,41.856309817,5
-87.6450896352,41.7836333784,1
-87.6451004847,41.7906684244,1
-87.6453787624,41.962178629,20
-87.6459662069,41.9145857091,3
-87.6460070664,41.9534000435,7
-87.6462109769,41.9218549112,25
-87.6462934762,41.9290776551,17
-87.6467297286,41.9346591566,11
-87.6467820813,41.938232293,8
-87.6470785093,41.942577185,13
-87.647113634,41.946489764,3
-87.6485823365,41.7396448282,1
-87.6486268165,41.8270879119,1
-87.6488131191,41.7478369814,3
-87.6499072264,41.9049353016,11
-87.6502900743,41.9729293173,17
-87.6510618838,41.9217781876,9
-87.6513108767,41.9290469366,23
-87.6514091317,41.7551743829,1
-87.6515625922,41.9363101308,12
-87.6516929533,41.8162234797,2
-87.6517530558,41.6813147793,1
-87.6517705068,41.9426918444,25
-87.6519703953,41.9492209135,19
-87.652031202,41.6958343746,2
-87.6522740174,41.9801575735,13
-87.6523653588,41.9636331692,5
-87.6524349997,41.9672886138,6
-87.6525344838,41.8926581076,16
-87.6530217894,41.9581548757,28
-87.6532196007,41.7341687376,1
-87.6532439924,41.9528229157,9
-87.6535834197,41.8329371807,1
-87.6536139825,41.8983058696,12
-87.6537566193,41.8634226841,4
-87.6537935286,41.9854724225,11
-87.6540070286,41.9147473049,5
-87.6540926517,41.8716894745,5
-87.6542980837,41.9462945357,50
-87.6545378676,41.980606166,3
-87.6558149022,41.9955129914,5
-87.6559118484,41.9217014922,1
-87.6561568309,41.9289672664,7
-87.6564115308,41.9362371791,12
-87.6566440918,41.9425851797,11
-87.6568039088,41.9491397709,26
-87.657005027,41.8790669938,13
-87.6572085174,41.7904943458,1
-87.6572331997,41.8852813201,75
-87.6572348282,41.9887040216,4
-87.6573042698,41.9912345323,14
-87.6573411073,41.9727095466,25
-87.6574177422,41.9934409461,11
-87.6574987907,41.9971539428,11
-87.6575817151,41.8050592655,1
-87.6578712629,41.9788750584,8
-87.6578992921,41.7268354017,1
-87.657966347,41.9827455952,2
-87.6583976702,41.9854764991,6
-87.659122427,42.004764559,35
-87.6595642391,41.8563332167,8
-87.6598643178,41.8925368719,3
-87.6603894557,41.958055933,65
-87.6605035019,41.952719111,7
-87.6608925701,41.9289459041,8
-87.6612652184,41.936159071,4
-87.6614433685,41.9416281,1
-87.6615450961,41.9452823311,1
-87.6616429039,41.9490605256,5
-87.6618611238,41.8741766252,2
-87.6631267998,42.0003203059,29
-87.6631958495,41.9654457842,19
-87.6633278588,42.0045174875,29
-87.6635286858,41.8474315472,9
-87.6637988716,41.8268319106,2
-87.6638654956,41.9726679555,20
-87.6639582144,42.0094125471,93
-87.6640782395,41.9218774613,8
-87.6641882421,41.9799124453,16
-87.6647458359,41.8924931672,2
-87.6649377243,41.9872255578,42
-87.6649539167,41.8997373884,6
-87.6652247765,41.9944422482,28
-87.6653376596,41.9066507664,7
-87.665676837,41.9287630064,2
-87.6661106945,41.9360865352,11
-87.6662888874,41.941555829,3
-87.6665362779,42.0159343756,143
-87.6665362813,41.9506733576,4
-87.6666114405,41.957530922,3
-87.6676836101,42.0062788614,86
-87.6687944391,41.9451704528,7
-87.6696239301,41.8924331563,1
-87.6698247721,42.0212235931,86
-87.6698377982,41.8996701799,3
-87.6701845504,41.9633743823,2
-87.6706210432,41.9670117607,6
-87.6709450752,41.9083786693,7
-87.6709663837,41.9359889065,3
-87.671107656,41.9414882338,6
-87.6711095263,41.9724370811,12
-87.671332488,41.9506052324,4
-87.6714455473,41.9797955506,35
-87.671445766,41.9192250505,5
-87.671518011,41.9579038971,5
-87.6716536214,41.8786674201,15
-87.671873941,41.8860057857,1
