SITE_NAME,OWNERSHIP,PROTECTION,TYPECODE,DISTRICT,ACRES,ADDRESS,ZonAgg,TypeLong,OS_Own_Jur,OS_Mngmnt,POS,PA,ALT_NAME,AgncyJuris,PARK_ID,REGION,OS_ID,F_100ftRule,ZipCode,ParcelNumber,YearAcquired,STArea__,STLength__,Shape_Length,Shape_Area,shape_wkt
Spectacle Island II,Commonwealth of Massachusetts,A97,3,Harbor Islands,25.52197761,5 Spectacle Island,Industrial District,"Parks, Playgrounds & Athletic Fields",DCR,DCR,X,X,Spectacle Island,DCR,NA,INFO_Reallocation From Dept,3093,YES,NA,NA,0,NA,NA,0.02151072255131,1.1279928755e-5,NA
Cook Street Play Area,City of Boston,A97,3,Charlestown,0.10135292,15 Hill Street,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,NA,BPRD,068,PARK_Maintenance_Region 1,68,YES,02129,0201637000,0,NA,NA,0.001064208548566,4.4836028e-8,NA
Spaulding Rehabilitation Plaza,Private,WPA/Ch91,1,Charlestown,0.29724209,300 First Avenue,Special District,"Malls, Squares & Plazas",Private,Private,N,X,NA,NA,NA,INFO_Reallocation From Dept,7164,NO,02129,NA,0,NA,NA,0.002817944583421,1.31489992e-7,NA
Navy Yard Grounds,United States of America,NHL,3,Charlestown,3.58076109,NA,Industrial District,"Parks, Playgrounds & Athletic Fields",National Park Service,NULL,X,X,Boston National Historical Par,NPS,NA,INFO_Reallocation From Dept,5002,YES,02129,NA,0,NA,NA,0.017509039884436,1.583880508e-6,NA
Christopher Columbus Park,City of Boston,A97/LWCF/Ch91/WPA,3,Downtown,4.86711067,110 Atlantic Avenue,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Waterfront Park,BPRD,056,PARK_Maintenance_Region 1,56,YES,02110,"0303024000,0303022000",1975,NA,NA,0.006339646214151,2.152425938e-6,NA
Long Wharf,BRA,LWCF/Ch91/WPA,1,Downtown,3.90121799,206-214 Atlantic Avenue (Harbor End of Wharf),Special District,"Malls, Squares & Plazas",National Park Service,BRA,X,X,Long Wharf Plaza,BRA,NA,INFO_Reallocation From Dept,2209,YES,02110,NA,0,NA,NA,0.014069024315231,1.725248179e-6,NA
Peter Looney Park,City of Boston,A97,3,Charlestown,0.66841264,34 Union Street,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Rutherford Union Playground,BPRD,235,PARK_Maintenance_Region 1,235,YES,02129,0203850000,1912,NA,NA,0.002927234099421,2.95660268e-7,NA
Charlestown Naval Shipyard Park,BRA,A97/LWCF/Ch91/WPA,3,Charlestown,9.58137896,21 Second Ave,Commercial/Office/Business District,"Parks, Playgrounds & Athletic Fields",NULL,NULL,X,X,Shipyard Park,NA,NA,PARK_Maintenance_Region 1,2211,YES,02129,NA,0,NA,NA,0.024795346176048,4.23809795e-6,NA
Constitution Beach,Commonwealth of Massachusetts,A97,2,East Boston,25.31312251,799 Bennington Street,Open Space District,"Parkways, Reservations & Beaches",DCR,NULL,X,X,Orient Heights Beach,NA,NA,INFO_Reallocation From Dept,3094,YES,02128,NA,0,NA,NA,0.024804127931705,1.1198368347e-5,NA
Massport Harborwalk,Massport,AM/Ch91/WPA,1,East Boston,2.47147688,NA,Industrial District,"Malls, Squares & Plazas",MA EOEEA,Massport,N,X,NA,Massport,NA,INFO_Reallocation From Dept,4085,YES,02128,NA,0,NA,NA,0.018628982158706,1.092999194e-6,NA
